Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,ca-2017-152156,08/11/2017,11/11/2017,seConD ClasS,CG-12520,clAiRe gUtE,cONSuMEr,UnITED STAtEs,HeNdeRSON,KEntUcKy,42420.0,soutH,fUR-bO-10001798,furNiTurE,bookcases,bUsH soMerseT cOLLeCtioN BoOKCAse, 261.96 
2,CA-2017-152156,08/11/2017,11/11/2017,SEcoND ClASS,Cg-12520,ClAIrE GUTe,cONsUMer,uniTEd STaTeS,HeNDeRSOn,kenTuCKy,42420.0,SouTh,FUR-cH-10000454,FUrNiTurE,cHAIrs,"HOn deLuxe fabriC upHOLstEReD sTackiNG CHAiRs, RouNDed BaCk",731.94
3,Ca-2017-138688,12/06/2017,16/06/2017,sECONd CLass,Dv-13045,Darrin Van HufF,coRpOrAtE,UniTed STAteS,Los AngElES,cAlifOrNIA,90036.0,weST,ofF-la-10000240,offiCe suPpliEs,LaBelS,seLf-aDHESiVE AdDResS lABeLs for TypeWRiTErs bY uNIverSal, 14.62 
4,uS-2016-108966,11/10/2016,18/10/2016,sTANdaRd CLASs,So-20335,SeAn O'DonNElL,CoNSumEr,unITED sTates,fORt LauDErdale,FLOrida,33311.0,SOuth,FUr-ta-10000577,FuRNiTUrE,tABLES,BRetfoRD Cr4500 SerIEs SLIM recTAnGuLAR TAble,957.5775
5,Us-2016-108966,11/10/2016,18/10/2016,sTaNDARD ClASS,So-20335,SEan o'DonneLL,consuMeR,uNITEd sTAtes,fort LAUDeRdAlE,FLoRIDA,33311.0,South,Off-st-10000760,OfFIcE SuPPlIEs,sTorAGE,eLdON FOLD 'N ROLL cARt SySTem,22.368
6,ca-2015-115812,09/06/2015,14/06/2015,StaNdaRD clAss,BH-11710,BrOSiNa HOfFmAn,CONSuMEr,UNITed STatEs,LOS anGeLeS,califORniA,90032.0,WESt,fUr-fu-10001487,FUrniTurE,furNIShiNGs,"ElDON eXPREsSioNS wood AND pLaSTIc desK AcCEsSOries, cHeRRY wOOd",48.86
7,ca-2015-115812,09/06/2015,14/06/2015,staNDaRD claSS,bh-11710,brOsINa HOfFMaN,conSuMER,uniTEd statEs,LOs aNGELeS,calIForNia,90032.0,wEsT,oFf-aR-10002833,ofFIcE suPpLIes,ArT,NeWELl 322,7.28
8,ca-2015-115812,09/06/2015,14/06/2015,STanDaRd ClaSs,BH-11710,bRosina HOffmAn,conSuMEr,unITEd StATeS,loS angElES,CAliFOrNia,90032.0,weSt,tEC-PH-10002275,tEchnoLOGY,PHonEs,MiTEL 5320 iP pHoNE VOiP phOne,907.152
9,CA-2015-115812,09/06/2015,14/06/2015,StanDard ClaSS,bH-11710,bROSINa hOFfman,coNSUmeR,uNitEd StaTes,LOs aNGeLEs,caLIForNIa,90032.0,WEst,OFf-bi-10003910,ofFiCE SuPPLIeS,binDErs,DxL ANGLe-vIEw bindeRS wITH LoCKING RINgs bY SAMSiLl,18.504
10,cA-2015-115812,09/06/2015,14/06/2015,STaNDARd CLaSs,Bh-11710,brosiNA hoFFmAN,cONSUMer,United StateS,loS aNGEleS,CaLIforNIA,90032.0,weST,oFF-AP-10002892,OfFICE supPLieS,AppLIanCES,beLkiN f5C206VTel 6 ouTleT SurgE,114.9
11,cA-2015-115812,09/06/2015,14/06/2015,sTaNdard clASs,bH-11710,BROsINA hOFfmaN,conSumEr,uniteD StaTES,Los ANGelEs,cAlIFORNIA,90032.0,WesT,Fur-ta-10001539,furNITURE,taBles,ChRoMcRaFt RecTAnGULaR COnfEReNce tAbleS, 1706.184 
12,Ca-2015-115812,09/06/2015,14/06/2015,stAnDarD cLAss,bh-11710,bROSInA HOFFMAn,CoNSUMER,UniTEd sTATes,lOS anGELeS,CAliFORniA,90032.0,weSt,teC-PH-10002033,TEChnOlOGy,PhoneS,KoNFTeL 250 CONfErenCE PHone - charCoal blACk, 911.424 
13,ca-2018-114412,15/04/2018,20/04/2018,sTaNdArd ClAss,Aa-10480,ANdrew AlleN,cONsuMer,uNiTEd sTatEs,conCOrd,norTh CARoLIna,28027.0,soutH,OfF-PA-10002365,OfFice sUpplIES,PapER,XERoX 1967, 15.552 
14,CA-2017-161389,05/12/2017,10/12/2017,stAndArD ClAss,IM-15070,iReNE mADdox,CoNsUMeR,UnITEd sTaTeS,SEATtLE,wAsHINGTON,98103.0,WEst,off-bi-10003656,ofFIcE sUpPLiES,bindErS,feLlOWEs pB200 PlAstIc COmb BiNdiNg MACHiNE,407.976
15,us-2016-118983,22/11/2016,26/11/2016,StaNDarD cLASS,HP-14815,haRoLd pAWLan,hOME OfFIcE,uniTed STatEs,forT wORth,texaS,76106.0,CeNTrAl,OFF-ap-10002311,Office suPpLiEs,AppliANcEs,"HOlmEs rEplacEmEnt FIlter fOR hEPa AiR CLeanEr, vErY lARgE ROoM, HePa filtER", 68.81 
16,US-2016-118983,22/11/2016,26/11/2016,STaNdaRd ClaSS,Hp-14815,HAroLd PAWlAn,HOME oFfIcE,UNiteD sTateS,forT WorTh,TExAS,76106.0,cENTraL,ofF-bi-10000756,OFfICe suPpLieS,biNdErS,SToREX dUrAtEch recYCLED plAsTIc frOSTeD binDerS, 2.544 
17,cA-2015-105893,11/11/2015,18/11/2015,sTaNDaRd ClaSs,pK-19075,pETE KRIz,conSumEr,uniteD sTAtEs,MaDisOn,WiScONSiN,53711.0,cenTraL,oFF-St-10004186,oFFiCe SuPpLIeS,StoRagE,"sTUR-d-STOr ShElvinG, veRTiCAL 5-ShElF: 72""h x 36""w X 18 1/2""D", 665.88 
18,Ca-2015-167164,13/05/2015,15/05/2015,seCONd cLasS,ag-10270,alEJAnDrO GrOVE,cONSUmer,UniteD StATEs,wESt JORDaN,uTaH,84084.0,WESt,oFF-sT-10000107,OffiCe suPpLieS,sToRage,FeLlowes sUpER StoR/drawer,55.5
19,cA-2015-143336,27/08/2015,01/09/2015,SEcoND cLAss,zd-21925,ZUsCHuss DonatelLi,consUmer,UniTED StAtEs,saN fRANCisCo,caLIForniA,94109.0,West,OFf-aR-10003056,oFfice supPlIES,art,neWELl 341,8.56
20,ca-2015-143336,27/08/2015,01/09/2015,secoND CLaSS,zd-21925,ZUschuSS DONAteLlI,CONSuMER,uNiTED sTaTeS,sAn fRANCIsco,CAlIfOrNiA,94109.0,WeST,tec-ph-10001949,TeChNOlOgy,pHOnes,CISCo spa 501g ip phoNe, 213.48 
21,Ca-2015-143336,27/08/2015,01/09/2015,seCONd ClaSs,Zd-21925,zuscHUsS doNATElli,CoNsuMer,uNiteD sTATES,sAn FRANCiSco,CALiFornIA,94109.0,West,OfF-BI-10002215,OfficE suppLiEs,BINDERS,"wILsOn JOneS HAnging ViEW Binder, white, 1""",22.72
22,cA-2017-137330,09/12/2017,13/12/2017,sTANdARD cLAsS,kb-16585,KEn BlaCK,CORPORATE,unitED sTATES,frEMoNT,nebraSKa,68025.0,cENtRaL,OFF-aR-10000246,OfFice sUPPLieS,arT,nEWeLL 318,19.46
23,Ca-2017-137330,09/12/2017,13/12/2017,stANdArD ClASs,Kb-16585,kEN blACk,CORpoRATE,uNiTed sTAtEs,freMonT,nebraSKa,68025.0,CEnTRaL,Off-Ap-10001492,offICE SUPpLiES,AppLIaNCEs,"AcCO Six-OUTLeT pOweR strIP, 4' CoRD lENgtH",60.34
24,Us-2018-156909,16/07/2018,18/07/2018,sECOND cLaSS,sF-20065,SAndRA FlanagaN,COnSUmer,uNIteD StATes,PHiladelPHia,pEnNSYLVaNIa,19140.0,eAsT,fUR-CH-10002774,furNiTurE,CHairS,"GLoBal DeLuxE sTaCKIng CHaiR, GRAy",71.372
25,ca-2016-106320,25/09/2016,30/09/2016,STandARd cLass,Eb-13870,eMILy BuRNs,cONSUmer,UNitED STAtEs,orem,utAh,84057.0,west,fUR-Ta-10000577,fUrnItuRE,TAbleS,BRetFOrD cR4500 seRIES SlIm reCtaNGuLaR TabLE,1044.63
26,Ca-2017-121755,16/01/2017,20/01/2017,seCond clasS,eh-13945,eriC hOffMann,conSumeR,uNITEd sTATeS,LOs AnGeLEs,CALiForNiA,90049.0,West,off-bI-10001634,oFfIce sUppLiES,biNDERs,wilSOn joNes ACTivE use BInDerS,11.648
27,cA-2017-121755,16/01/2017,20/01/2017,sEcONd Class,eh-13945,ERIC hoFfmaNN,cONSumeR,uNITED StATES,LOs ANgeLEs,CaLifORNiA,90049.0,west,Tec-Ac-10003027,teChnOlOgY,aCCeSSoRieS,iMaTIoN 8gB mINi TRaveldRIVe UsB 2.0 fLAsh DRiVE,90.57
28,us-2016-150630,17/09/2016,21/09/2016,standArd CLaSS,Tb-21520,tRAcY BLUmsTEIN,CONsumeR,unITEd StATeS,pHILaDElphia,pEnNSylVANIA,19140.0,EAST,fur-bO-10004834,FuRnItuRe,BoOKcAsES,"RIVErSIDe PALaIs rOYAl LAwYeRS boOKCAse, roYALE CHErrY FINiSH",3083.43
29,Us-2016-150630,17/09/2016,21/09/2016,sTANDard CLASS,tb-21520,tRAcy bLumSTEin,cONsUmER,UNIted StAtEs,pHiLaDElPhia,peNnsYlvANia,19140.0,EAsT,off-bI-10000474,offiCE sUpPLies,BiNDERs,AVerY rEcYCLeD FleXi-vIEW COvERs for BINdING sYSteMs,9.618
30,uS-2016-150630,17/09/2016,21/09/2016,StandaRD CLAss,tb-21520,TRaCY BLuMSteIN,COnsUMer,uniTed sTATes,pHiLADelPHia,PenNSYlVAniA,19140.0,EasT,fUR-fu-10004848,fUrNitURE,fURniSHInGs,"hoWaRD mILLer 13-3/4"" DiaMETEr BRUsHeD cHROMe RoUnd wALL CLOCK",124.2
31,uS-2016-150630,17/09/2016,21/09/2016,StANDArd CLASS,tb-21520,TRACy bLUmsTeIN,coNSuMER,UniTed STAtEs,PHIlADElPhIa,pEnNsYlVaNIA,19140.0,eaST,OfF-en-10001509,oFfICE SUPpLieS,eNVElOPeS,POLY sTRINg Tie eNvEloPEs,3.264
32,US-2016-150630,17/09/2016,21/09/2016,sTAnDARd CLAsS,TB-21520,traCy bluMstEIn,CONsUmEr,UnIteD StATes,PHILadelPHIa,peNnsYLvaNIA,19140.0,EASt,off-AR-10004042,OffiCE SUpPLIEs,ART,"BoSTOn moDEL 1800 ELECtrIc PENCiL SHARpEnerS, PuTtY/wOodGRAin",86.304
